actor_id,actor_name
1,Joel David Moore
2,CCH Pounder
3,Wes Studi
4,Orlando Bloom
5,Johnny Depp
6,Jack Davenport
7,Rory Kinnear
8,Christoph Waltz
9,Stephanie Sigman
10,Christian Bale
11,Tom Hardy
12,Joseph Gordon-Levitt
13,Rob Walker
14,Doug Walker
16,Samantha Morton
17,Daryl Sabara
18,Polly Walker
19,Donna Murphy
20,Brad Garrett
21,M.C. Gainey
22,Robert Downey Jr.
23,Chris Hemsworth
24,Scarlett Johansson
25,Daniel Radcliffe
26,Alan Rickman
27,Rupert Grint
28,Lauren Cohan
29,Henry Cavill
30,Alan D. Purwin
31,Marlon Brando
32,Kevin Spacey
33,Frank Langella
34,Mathieu Amalric
35,Giancarlo Giannini
36,Ruth Wilson
37,Tom Wilkinson
38,Christopher Meloni
39,Harry Lennix
40,Pierfrancesco Favino
41,Peter Dinklage
42,Damián Alcázar
43,Sam Claflin
44,Stephen Graham
45,Michael Stuhlbarg
46,Will Smith
47,Nicole Scherzinger
48,Adam Brown
49,Aidan Turner
50,James Nesbitt
51,Andrew Garfield
52,Emma Stone
53,Chris Zylka
54,William Hurt
55,Mark Addy
56,Scott Grimes
57,Eva Green
58,Christopher Lee
59,Kristin Scott Thomas
60,Kate Winslet
61,Leonardo DiCaprio
62,Gloria Stuart
63,Chris Evans
64,Alexander Skarsgård
65,Liam Neeson
66,Tadanobu Asano
67,Judy Greer
68,Bryce Dallas Howard
69,Omar Sy
70,James Franco
71,J.K. Simmons
72,Kirsten Dunst
73,Jon Favreau
74,Don Cheadle
75,Kelsey Grammer
76,Hugh Jackman
77,Daniel Cudmore
78,Tyler Labine
79,Steve Buscemi
80,Sean Hayes
81,Kevin Dunn
82,Glenn Morshower
83,Ramon Rodriguez
84,Sophia Myles
85,Bingbing Li
86,B.J. Novak
87,Thomas Kretschmann
88,Joe Mantegna
89,Eddie Izzard
90,Temuera Morrison
91,Ryan Reynolds
92,Taika Waititi
93,John Ratzenberger
94,Tom Hanks
95,Don Rickles
96,Common
97,Paul Walker
98,Jason Statham
99,Vin Diesel
100,Brad Pitt
101,Peter Capaldi
102,Mireille Enos
103,Jennifer Lawrence
104,Bruce Greenwood
105,Benedict Cumberbatch
106,Noel Clarke
107,Ewen Bremner
108,Eddie Marsan
109,Ralph Brown
110,Richard Coyle
111,Jake Gyllenhaal
112,Reece Ritchie
113,Clifton Collins Jr.
114,Charlie Hunnam
115,Larry Joe Campbell
116,Lester Speight
117,Ray Winstone
118,Harrison Ford
119,Jim Broadbent
120,Jack McGraw
121,A.J. Buckley
122,Peter Sohn
123,Kelly Macdonald
124,Julie Walters
125,Melissa Roxburgh
126,Sofia Boutella
127,Lydia Wilson
128,Fred Willard
129,Jeff Garlin
130,Dana Ivey
131,Tzi Ma
132,Noémie Lenoir
133,Liam James
134,Oliver Platt
135,Tom McCarthy
136,Colin Firth
137,Robin Wright
138,Gary Oldman
139,Mila Kunis
140,Channing Tatum
141,Eddie Redmayne
142,Kiran Shah
143,Shane Rangi
144,Michael Fassbender
145,Tye Sheridan
146,Heath Ledger
147,Morgan Freeman
148,Delroy Lindo
149,Jess Harnell
150,Rainn Wilson
151,Amy Poehler
152,Stephen Colbert
153,Jeff Bridges
154,Chloë Grace Moretz
155,Salma Hayek
156,Bai Ling
157,Brendan Fraser
158,Jet Li
159,Russell Wong
160,Robin Atkin Downes
161,Ike Barinholtz
162,Jimmy Bennett
163,Steve Carell
164,Lara Pulver
165,Tom Cruise
166,Noah Taylor
167,Rick Aviles
168,Jeanne Tripplehorn
169,Zakes Mokae
170,Dennis Quaid
171,Leo Howard
172,Mindy Kaling
173,Phyllis Smith
174,Kristen Stewart
175,Sharlto Copley
176,Angelina Jolie Pitt
177,Sam Riley
178,Kodi Smit-McPhee
179,Cary-Hiroyuki Tagawa
180,Keanu Reeves
181,Jin Akanishi
182,Hayley Atwell
183,Kathy Griffin
184,Jon Hamm
185,Mary Kay Place
186,Chris Bauer
187,Thomas Robinson
188,Daniel Henney
189,Damon Wayans Jr.
190,Abraham Benrubi
191,Sarah Silverman
192,Jack McBrayer
193,Joe Lo Truglio
194,Eddie Deezen
195,Peter Scolari
196,Sela Ward
197,Vivica A. Fox
198,Judd Hirsch
199,America Ferrera
200,Gerard Butler
201,Craig Ferguson
202,Nick Stahl
203,Carolyn Hennesy
204,Bradley Cooper
205,Djimon Hounsou
206,Anne Hathaway
207,Matthew McConaughey
208,Mackenzie Foy
209,Jason Flemyng
210,Julia Ormond
211,Philip Seymour Hoffman
212,Josh Hutcherson
213,Omar Benson Miller
214,Nicolas Cage
215,Robert Capron
216,Mike Vogel
217,Andre Braugher
218,Eric Idle
219,Justin Timberlake
220,Rupert Everett
221,Callum Rennie
222,Dominic Cooper
223,Ruth Negga
224,Emilia Clarke
225,Matt Smith
226,Bruce Spence
227,Laura Brent
228,Jaime King
229,Jennifer Garner
230,Mako
231,Michael O'Neill
232,Zack Ward
233,Anthony Hopkins
234,Brian Blessed
235,Robert Pattinson
236,Fiona Shaw
237,Charlize Theron
238,Alice Braga
239,Willow Smith
240,David Kelly
241,Janeane Garofalo
242,Brian Dennehy
243,Jada Pinkett Smith
244,Bernie Mac
245,Cedric the Entertainer
246,Rami Malek
247,Robin Williams
248,Steve Coogan
249,Dominic Monaghan
250,Collin Chou
251,Essie Davis
252,Nona Gaye
253,Maurice LaMarche
254,Josh Gad
255,Livvy Stubenrauch
256,Daniel Bernhardt
257,Steve Bastoni
258,Helmut Bakaitis
259,Natalie Portman
260,Zoë Kravitz
261,Ayelet Zurer
262,Armin Mueller-Stahl
263,Diedrich Bader
264,James Lipton
265,Piper Mackenzie Harris
266,Kelli Garner
267,Niecy Nash
268,Edgar Ramírez
269,Lily James
270,Jeremy Renner
271,Sean Harris
272,Simon Merrells
273,Art Malik
274,Casper Crump
275,Oprah Winfrey
276,Matthew Broderick
277,Rip Torn
278,Mike Bell
279,Noah Ringer
280,Seychelle Gabriel
281,Aasif Mandvi
282,Jake Weber
283,Matt Craven
284,Dan Fogler
285,Elisabeth Harnois
286,Tom Everett Scott
287,David Suchet
288,Zach Callison
289,Ty Burrell
290,Karan Brar
291,Julian Glover
292,Martin Short
293,Colin Salmon
294,Toby Stephens
295,Rick Yune
296,Bruce Willis
297,Will Patton
298,Rosario Dawson
299,Sebastian Roché
300,Wayne Knight
301,Michael Nyqvist
302,Kamil McFadden
303,Khamani Griffin
304,Richard Burgi
305,John Michael Higgins
306,David Herman
307,Tony Goldwyn
308,Chad Lindberg
309,Leonard Nimoy
310,Elodie Yung
311,Bryan Brown
312,Joe Morton
313,Sam Shepard
314,Richard Roxburgh
315,Billy Crudup
316,Matt Frewer
317,Stephen McHattie
318,Rene Russo
319,Darlene Love
320,Regi Davis
321,Kevin Rankin
322,Celia Weston
323,Dwayne Johnson
324,Ming-Na Wen
325,Jean Simmons
