director_id,director_name
1,James Cameron
2,Gore Verbinski
3,Sam Mendes
4,Christopher Nolan
5,Doug Walker
6,Andrew Stanton
7,Nathan Greno
8,Joss Whedon
9,David Yates
10,Zack Snyder
11,Bryan Singer
12,Marc Forster
13,Andrew Adamson
14,Rob Marshall
15,Barry Sonnenfeld
16,Peter Jackson
17,Marc Webb
18,Ridley Scott
19,Chris Weitz
20,Anthony Russo
21,Peter Berg
22,Colin Trevorrow
23,Sam Raimi
24,Shane Black
25,Brett Ratner
26,Dan Scanlon
27,Michael Bay
28,John Lasseter
29,Martin Campbell
30,Lee Unkrich
31,McG
32,James Wan
33,J.J. Abrams
34,Mike Newell
35,Guillermo del Toro
36,Steven Spielberg
37,Peter Sohn
38,Mark Andrews
39,Justin Lin
40,Roland Emmerich
41,Robert Zemeckis
42,Lana Wachowski
43,Pete Docter
44,Rob Letterman
45,Jon Favreau
46,Martin Scorsese
47,Rob Cohen
48,David Ayer
49,Tom Shadyac
50,Doug Liman
51,Kevin Reynolds
52,Stephen Sommers
53,Rupert Sanders
54,Robert Stromberg
55,Matt Reeves
56,Carl Rinsch
57,Mike Mitchell
58,Brad Bird
59,Don Hall
60,Rich Moore
61,Dean DeBlois
62,Jonathan Mostow
63,James Gunn
64,David Fincher
65,Matthew Vaughn
66,Francis Lawrence
67,Jon Turteltaub
68,Wolfgang Petersen
69,James Bobin
70,Chris Miller
71,Duncan Jones
72,Alan Taylor
73,Michael Apted
74,Oliver Stone
75,Tim Burton
76,Eric Darnell
77,Shawn Levy
78,Gavin Hood
79,Chris Buck
80,George Miller
81,Ron Howard
82,Kenneth Branagh
83,Byron Howard
84,Hoyt Yeatman
85,Jonathan Liebesman
86,Christopher McQuarrie
87,Joe Johnston
88,Steve Hickner
89,Jennifer Yuh Nelson
90,M. Night Shyamalan
91,Simon Wells
92,David Bowers
93,Rob Minkoff
94,Lee Tamahori
95,Alessandro Carloni
96,Peter Ramsey
97,Dean Parisot
98,Edward Zwick
99,Alex Proyas
100,Richard Donner
101,Ang Lee
102,Jon M. Chu
103,Breck Eisner
104,Hironobu Sakaguchi
105,Peter Weir
106,Louis Leterrier
108,Alejandro G. Iñárritu
109,David Soren
110,Paul Greengrass
111,Mark Osborne
112,Peyton Reed
113,Bill Condon
114,Phillip Noyce
115,Darren Aronofsky
116,Alfonso Cuarón
117,Baz Luhrmann
118,Eric Leighton
119,Matt Birch
120,Tom McGrath
121,Chris Columbus
122,Robert Schwentke
123,Hideaki Anno
124,Carlos Saldanha
125,Guy Ritchie
126,John McTiernan
127,Tony Gilroy
128,Joel Schumacher
129,John Woo
130,Tim Story
131,Mark Steven Johnson
132,Neill Blomkamp
133,David Twohy
134,James L. Brooks
135,James Mangold
136,Joseph Kosinski
137,George Lucas
138,Kirk De Micco
139,Frédéric Forestier
140,Cedric Nicolas-Troyan
141,Roger Donaldson
142,Dave Green
143,Brad Peyton
144,Roger Spottiswoode
145,Steven Soderbergh
146,Michel Gondry
147,Noam Murro
148,Raja Gosnell
149,Will Finn
150,Jan de Bont
151,Len Wiseman
152,Michael Mann
153,Bo Welch
154,Ron Clements
155,Christopher Barnard
156,Peter Chelsom
157,Dominic Sena
158,Tony Scott
159,Paul Weitz
160,Adam McKay
161,Chuck Russell
162,Quentin Tarantino
163,Gary Trousdale
164,Mark Dindal
165,Simon West
166,Stefen Fangmeier
167,Spike Jonze
168,Chris Wedge
169,Peter Hyams
170,Paul Verhoeven
171,Tom Tykwer
172,Pitof
173,Brad Silberling
174,Patrick Hughes
175,Lawrence Guterman
176,Ron Underwood
177,Steve Martino
178,David Mamet
179,Yimou Zhang
180,Ash Brannon
181,Frank Oz
182,Jay Roach
183,Luc Besson
184,Michael Patrick King
185,Bibo Bergeron
186,Sergey Bodrov
187,Wally Pfister
188,Rupert Wyatt
189,Mark Waters
190,John Moore
191,Renny Harlin
192,Phil Lord
193,Ben Stiller
194,Tony Bancroft
195,Walt Becker
196,Dennis Dugan
197,Sydney Pollack
198,Thor Freudenthal
199,Brian De Palma
200,Mick Jackson
201,Alan J. Pakula
202,Kathryn Bigelow
203,Josh Trank
204,Andrey Konchalovskiy
205,Gary Ross
206,Paul W.S. Anderson
207,Genndy Tartakovsky
208,Kevin Lima
209,Daniel Espinosa
210,Nancy Meyers
211,Roger Allers
212,Neil Burger
213,Jean-Jacques Annaud
214,Sarah Smith
215,Martin Brest
216,Andrew Davis
217,Bob Fosse
218,Tarsem Singh
219,Edgar Wright
220,Jon Amiel
221,Peter Segal
222,Frank Coraci
223,Sylvester Stallone
224,Todd Phillips
225,Tim Johnson
226,Gary Winick
227,Mimi Leder
228,Seth Gordon
229,Adam Shankman
230,D.J. Caruso
231,Anthony Minghella
232,Albert Hughes
233,Les Mayfield
234,Joe Pytka
235,Ivan Reitman
236,Eric Brevig
237,Kelly Asbury
238,Stephen Hopkins
239,Jonathan Demme
240,Henry Jaglom
241,James Algar
242,Vincent Ward
243,Steven Brill
244,Terry Gilliam
245,Lucile Hadzihalilovic
246,Barry Cook
247,Roger Christian
248,Joe Dante
249,Kevin Costner
250,Antony Hoffman
251,Jacques Perrin
252,Andrés Couturier
253,Cody Cameron
254,John Singleton
255,Oliver Hirschbiegel
256,Des McAnuff
257,Yarrow Cheney
258,Stephen Norrington
259,Pierre Coffin
260,Timur Bekmambetov
261,David Kellogg
262,Mike Nichols
263,F. Gary Gray
