OrderID,OrderDate,RequiredDate,ShippedDate,ShipName,ShipCountry,ShipRegion,ShipAddress,ShipPostalCode,ShipCity
10248,1996-07-04 00:00:00,1996-08-01 00:00:00,1996-07-16 00:00:00,Vins et alcools Chevalier,France,,59 rue de l'Abbaye,51100,Reims
10249,1996-07-05 00:00:00,1996-08-16 00:00:00,1996-07-10 00:00:00,Toms Spezialitäten,Germany,,Luisenstr. 48,44087,Münster
10250,1996-07-08 00:00:00,1996-08-05 00:00:00,1996-07-12 00:00:00,Hanari Carnes,Brazil,RJ,"Rua do Paço, 67",05454-876,Rio de Janeiro
10251,1996-07-08 00:00:00,1996-08-05 00:00:00,1996-07-15 00:00:00,Victuailles en stock,France,,"2, rue du Commerce",69004,Lyon
10252,1996-07-09 00:00:00,1996-08-06 00:00:00,1996-07-11 00:00:00,Suprêmes délices,Belgium,,"Boulevard Tirou, 255",B-6000,Charleroi
10253,1996-07-10 00:00:00,1996-07-24 00:00:00,1996-07-16 00:00:00,Hanari Carnes,Brazil,RJ,"Rua do Paço, 67",05454-876,Rio de Janeiro
10254,1996-07-11 00:00:00,1996-08-08 00:00:00,1996-07-23 00:00:00,Chop-suey Chinese,Switzerland,,Hauptstr. 31,3012,Bern
10255,1996-07-12 00:00:00,1996-08-09 00:00:00,1996-07-15 00:00:00,Richter Supermarkt,Switzerland,,Starenweg 5,1204,Genève
10256,1996-07-15 00:00:00,1996-08-12 00:00:00,1996-07-17 00:00:00,Wellington Importadora,Brazil,SP,"Rua do Mercado, 12",08737-363,Resende
10257,1996-07-16 00:00:00,1996-08-13 00:00:00,1996-07-22 00:00:00,HILARION-Abastos,Venezuela,Táchira,Carrera 22 con Ave. Carlos Soublette #8-35,5022,San Cristóbal
10258,1996-07-17 00:00:00,1996-08-14 00:00:00,1996-07-23 00:00:00,Ernst Handel,Austria,,Kirchgasse 6,8010,Graz
10259,1996-07-18 00:00:00,1996-08-15 00:00:00,1996-07-25 00:00:00,Centro comercial Moctezuma,Mexico,,Sierras de Granada 9993,05022,México D.F.
10260,1996-07-19 00:00:00,1996-08-16 00:00:00,1996-07-29 00:00:00,Ottilies Käseladen,Germany,,Mehrheimerstr. 369,50739,Köln
10261,1996-07-19 00:00:00,1996-08-16 00:00:00,1996-07-30 00:00:00,Que Delícia,Brazil,RJ,"Rua da Panificadora, 12",02389-673,Rio de Janeiro
10262,1996-07-22 00:00:00,1996-08-19 00:00:00,1996-07-25 00:00:00,Rattlesnake Canyon Grocery,USA,NM,2817 Milton Dr.,87110,Albuquerque
10263,1996-07-23 00:00:00,1996-08-20 00:00:00,1996-07-31 00:00:00,Ernst Handel,Austria,,Kirchgasse 6,8010,Graz
10264,1996-07-24 00:00:00,1996-08-21 00:00:00,1996-08-23 00:00:00,Folk och fä HB,Sweden,,Åkergatan 24,S-844 67,Bräcke
10265,1996-07-25 00:00:00,1996-08-22 00:00:00,1996-08-12 00:00:00,Blondel père et fils,France,,"24, place Kléber",67000,Strasbourg
10266,1996-07-26 00:00:00,1996-09-06 00:00:00,1996-07-31 00:00:00,Wartian Herkku,Finland,,Torikatu 38,90110,Oulu
10267,1996-07-29 00:00:00,1996-08-26 00:00:00,1996-08-06 00:00:00,Frankenversand,Germany,,Berliner Platz 43,80805,München
10268,1996-07-30 00:00:00,1996-08-27 00:00:00,1996-08-02 00:00:00,GROSELLA-Restaurante,Venezuela,DF,5ª Ave. Los Palos Grandes,1081,Caracas
10269,1996-07-31 00:00:00,1996-08-14 00:00:00,1996-08-09 00:00:00,White Clover Markets,USA,WA,1029 - 12th Ave. S.,98124,Seattle
10270,1996-08-01 00:00:00,1996-08-29 00:00:00,1996-08-02 00:00:00,Wartian Herkku,Finland,,Torikatu 38,90110,Oulu
