actor_id,actor_name
1,Jenni 'Jwoww' Farley
2,Gary Coleman
3,Vera Miles
4,Cyril Raffaelli
5,Swami Krishnanad
6,Amy Ryan
7,Kathy Baker
8,Swoosie Kurtz
9,Kevin Michael Richardson
10,Freddie Jones
11,Daniel Baldwin
12,Sonja Sohn
13,Matt Keeslar
14,Brent Sexton
15,Rob Paulsen
16,Molly Hagan
17,Claude Akins
18,David Bailie
19,Charice
20,Matty Rich
21,Vanessa Hessler
22,Donna Zovko
23,Togo Igawa
24,Klaus Kinski
25,Kellie Martin
26,John Saxon
27,Brad William Henke
28,Bonnie Somerville
29,Clifton Powell
30,Siu-Wong Fan
31,Nick Stahl
32,Jill Talley
33,Alex Emanuel
34,Emir Kusturica
35,Victor Mature
36,Tanya van Graan
37,Adam Carolla
38,Terence Maynard
39,Dorothy Lyman
40,James With
41,Kelvin Taylor
42,Melvil Poupaud
43,Jennifer Lee Wiggins
44,Mark L. Young
45,Diahann Carroll
46,Denis Lavant
47,Marie Pillet
48,Kathleen Freeman
49,Daoming Chen
50,Gunnar Hansen
51,Louis Mustillo
52,Carlos Gallardo
53,Susan Blommaert
54,Jake Wood
55,Rumer Willis
56,Paul Ogola
57,Arcelia Ramírez
58,Dermot Crowley
59,Reese Mishler
60,Khamani Griffin
61,Agame Malembo-Emene
62,Salli Richardson-Whitfield
63,Isabelle Adjani
64,Randy Quaid
65,Amy Hargreaves
66,Paul Mazursky
67,Arthur O'Connell
68,Tac Fitzgerald
69,Patrick Muldoon
70,Raymond Cruz
71,Osama bin Laden
72,James Ransone
73,Bobby Brown
74,Yaakov Peri
75,Emma de Caunes
76,Riteish Deshmukh
77,David Heyman
78,Richard Cetrone
79,Maya Angelou
80,Monique Candelaria
81,Shanley Caswell
82,Thomas F. Wilson
83,Duane Jones
84,Julie Christie
85,Rachel Nash
86,Ronn Moss
87,Joe Coffey
88,Dana Ivey
89,Wei Zhao
90,Megan Park
91,Richard Linklater
92,Nicholas Aaron
93,Björn Hlynur Haraldsson
94,Kathleen Kinmont
95,Louis Ozawa Changchien
96,Mare Winningham
97,Randall 'Tex' Cobb
98,Matt O'Leary
99,Ethan Suplee
100,T.R. Silambarasan
101,Brenda Fricker
102,Kate Winslet
103,Leo Howard
104,Renee Olstead
105,Gordon Jump
106,Roddy McDowall
107,Jimmy Shergill
108,Stephane Gauger
109,Walter Masterson
110,Julie Gonzalo
111,Billy Boyd
112,Joe Ochman
113,Vanessa Zima
114,Teddy Doloir
115,Li Gong
116,Judith Chapman
117,Samantha Buck
118,John August
119,Woody Strode
120,Juhi Chawla
121,Clu Gulager
122,Jack Kao
123,Dave Chappelle
124,Natasha Richardson
125,Jason Burkey
126,Maribel Verdú
